,监测点编码,城市
270,1271A,合肥
271,1272A,合肥
272,1273A,合肥
273,1274A,合肥
274,1275A,合肥
275,1276A,合肥
276,1277A,合肥
277,1278A,合肥
278,1279A,合肥
279,1280A,福州
280,1281A,福州
281,1282A,福州
282,1283A,福州
283,1284A,福州
284,1285A,福州
285,1286A,厦门
286,1287A,厦门
287,1288A,厦门
288,1290A,南昌
289,1291A,南昌
290,1292A,南昌
291,1293A,南昌
292,1294A,南昌
293,1295A,南昌
294,1296A,南昌
295,1297A,南昌
296,1298A,南昌
297,1299A,济南
298,1300A,济南
299,1301A,济南
300,1302A,济南
301,1303A,济南
302,1304A,济南
303,1305A,济南
304,1306A,济南
305,1307A,青岛
306,1308A,青岛
307,1309A,青岛
308,1310A,青岛
309,1311A,青岛
310,1312A,青岛
311,1313A,青岛
312,1314A,青岛
313,1315A,青岛
314,1316A,郑州
315,1317A,郑州
316,1318A,郑州
317,1319A,郑州
318,1320A,郑州
319,1321A,郑州
320,1322A,郑州
321,1323A,郑州
322,1324A,郑州
323,1325A,武汉
324,1326A,武汉
325,1327A,武汉
326,1328A,武汉
327,1329A,武汉
328,1330A,武汉
329,1331A,武汉
330,1332A,武汉
331,1333A,武汉
332,1334A,武汉
333,1335A,长沙
334,1336A,长沙
335,1337A,长沙
336,1338A,长沙
337,1339A,长沙
338,1340A,长沙
339,1341A,长沙
340,1342A,长沙
341,1343A,长沙
342,1344A,长沙
343,1345A,广州
344,1346A,广州
345,1347A,广州
346,1348A,广州
347,1349A,广州
348,1350A,广州
349,1351A,广州
350,1352A,广州
351,1353A,广州
352,1354A,广州
353,1355A,广州
354,1356A,深圳
355,1357A,深圳
356,1358A,深圳
357,1359A,深圳
358,1360A,深圳
359,1361A,深圳
360,1362A,深圳
361,1363A,深圳
362,1364A,深圳
363,1365A,深圳
364,1366A,深圳
365,1367A,珠海
366,1368A,珠海
367,1369A,珠海
368,1370A,珠海
369,1371A,佛山
370,1372A,佛山
371,1373A,佛山
372,1374A,佛山
373,1375A,佛山
374,1376A,佛山
375,1377A,佛山
376,1378A,佛山
377,1379A,中山
378,1380A,中山
379,1381A,中山
380,1382A,中山
381,1383A,江门
382,1384A,江门
383,1385A,江门
384,1386A,江门
385,1387A,东莞
386,1388A,东莞
387,1389A,东莞
388,1390A,东莞
389,1391A,东莞
390,1392A,惠州
391,1393A,惠州
392,1394A,惠州
393,1395A,惠州
394,1396A,惠州
395,1397A,肇庆
396,1398A,肇庆
397,1399A,肇庆
398,1400A,肇庆
399,1401A,南宁
400,1402A,南宁
401,1403A,南宁
402,1404A,南宁
403,1405A,南宁
404,1406A,南宁
405,1407A,南宁
406,1408A,南宁
407,1409A,海口
408,1410A,海口
409,1411A,海口
410,1412A,海口
411,1413A,海口
412,1414A,重庆
413,1415A,重庆
414,1416A,重庆
415,1417A,重庆
416,1418A,重庆
417,1419A,重庆
418,1420A,重庆
419,1421A,重庆
420,1422A,重庆
421,1423A,重庆
422,1424A,重庆
423,1425A,重庆
424,1426A,重庆
425,1427A,重庆
426,1428A,重庆
427,1429A,重庆
428,1430A,重庆
429,1431A,成都
430,1432A,成都
431,1433A,成都
432,1434A,成都
433,1435A,成都
434,1436A,成都
435,1437A,成都
436,1438A,成都
437,1439A,贵阳
438,1440A,贵阳
439,1441A,贵阳
440,1442A,贵阳
441,1443A,贵阳
442,1444A,贵阳
443,1445A,贵阳
444,1446A,贵阳
445,1447A,贵阳
446,1449A,昆明
447,1450A,昆明
448,1451A,昆明
449,1452A,昆明
450,1453A,昆明
451,1454A,昆明
452,1455A,昆明
453,1456A,拉萨
454,1457A,拉萨
455,1458A,拉萨
456,1459A,拉萨
457,1460A,拉萨
458,1461A,拉萨
459,1462A,西安
460,1463A,西安
461,1464A,西安
462,1465A,西安
463,1466A,西安
464,1467A,西安
465,1468A,西安
466,1469A,西安
467,1470A,西安
468,1471A,西安
469,1472A,西安
470,1473A,西安
471,1474A,西安
472,1475A,兰州
473,1476A,兰州
474,1477A,兰州
475,1478A,兰州
476,1479A,兰州
477,1480A,西宁
478,1481A,西宁
479,1482A,西宁
480,1483A,西宁
481,1484A,银川
482,1485A,银川
483,1486A,银川
484,1487A,银川
485,1488A,银川
486,1489A,银川
487,1490A,乌鲁木齐
488,1491A,乌鲁木齐
489,1492A,乌鲁木齐
490,1493A,乌鲁木齐
491,1494A,乌鲁木齐
492,1495A,乌鲁木齐
493,1496A,乌鲁木齐
494,1508A,湘潭
495,1511A,湘潭
496,1512A,湘潭
497,1513A,湘潭
498,1514A,湘潭
499,1515A,株洲
500,1518A,株洲
501,1519A,株洲
502,1520A,株洲
503,1524A,株洲
504,1552A,贵阳
505,1559A,株洲
506,1562A,湘潭
507,1564A,湘潭
508,1585A,包头
509,1586A,包头
510,1587A,包头
511,1588A,包头
512,1589A,包头
513,1590A,包头
514,1591A,鄂尔多斯
515,1592A,鄂尔多斯
516,1593A,鄂尔多斯
517,1594A,鄂尔多斯
518,1595A,鄂尔多斯
519,1596A,营口
520,1597A,营口
521,1598A,营口
522,1599A,营口
523,1600A,丹东
524,1601A,丹东
525,1602A,丹东
526,1603A,丹东
527,1604A,盘锦
528,1605A,盘锦
529,1606A,盘锦
530,1607A,葫芦岛
531,1608A,葫芦岛
532,1609A,葫芦岛
533,1610A,葫芦岛
534,1611A,泉州
535,1612A,泉州
536,1613A,泉州
537,1614A,泉州
538,1615A,济南
539,1616A,济南
540,1617A,济南
541,1618A,临沂
542,1619A,临沂
543,1620A,临沂
544,1621A,临沂
545,1622A,德州
546,1623A,德州
547,1624A,德州
548,1625A,聊城
549,1626A,聊城
550,1627A,聊城
551,1628A,滨州
552,1629A,滨州
553,1630A,滨州
554,1631A,淄博
555,1632A,淄博
556,1633A,淄博
557,1634A,淄博
558,1635A,淄博
559,1636A,淄博
560,1637A,枣庄
561,1638A,枣庄
562,1639A,枣庄
563,1640A,枣庄
564,1641A,枣庄
565,1642A,烟台
566,1643A,烟台
567,1644A,烟台
568,1645A,烟台
569,1646A,烟台
570,1647A,烟台
571,1648A,潍坊
572,1649A,潍坊
573,1650A,潍坊
574,1651A,潍坊
575,1652A,潍坊
576,1653A,济宁
577,1654A,济宁
578,1655A,济宁
579,1656A,泰安
580,1657A,泰安
581,1658A,泰安
582,1659A,日照
583,1660A,日照
584,1661A,日照
585,1662A,威海
586,1663A,威海
587,1664A,威海
588,1665A,东营
589,1666A,东营
590,1667A,东营
591,1668A,东营
592,1669A,韶关
593,1670A,韶关
594,1671A,韶关
595,1672A,韶关
596,1673A,韶关
597,1674A,汕头
598,1675A,汕头
599,1676A,汕头
600,1677A,汕头
601,1678A,汕头
602,1679A,汕头
603,1680A,湛江
604,1681A,湛江
605,1682A,湛江
606,1683A,湛江
607,1684A,湛江
608,1685A,湛江
609,1686A,茂名
610,1687A,茂名
611,1688A,茂名
612,1689A,茂名
613,1690A,梅州
614,1691A,梅州
615,1692A,梅州
616,1693A,汕尾
617,1694A,汕尾
618,1695A,汕尾
619,1696A,河源
620,1697A,河源
621,1698A,河源
622,1699A,阳江
623,1700A,阳江
624,1701A,阳江
625,1702A,清远
626,1703A,清远
627,1704A,清远
628,1705A,潮州
629,1706A,潮州
630,1707A,潮州
631,1708A,揭阳
632,1709A,揭阳
633,1710A,揭阳
634,1711A,揭阳
635,1712A,云浮
636,1713A,云浮
637,1714A,云浮
638,1715A,玉溪
639,1716A,玉溪
640,1717A,玉溪
641,1718A,菏泽
642,1719A,菏泽
643,1720A,菏泽
644,1721A,大同
645,1722A,大同
646,1723A,大同
647,1724A,大同
648,1725A,大同
649,1726A,大同
650,1727A,长治
651,1728A,长治
652,1729A,长治
653,1730A,长治
654,1731A,长治
655,1732A,临汾
656,1733A,临汾
657,1734A,临汾
658,1735A,临汾
659,1736A,临汾
660,1737A,临汾
661,1738A,阳泉
662,1739A,阳泉
663,1740A,阳泉
664,1741A,阳泉
665,1742A,阳泉
666,1743A,阳泉
667,1744A,赤峰
668,1745A,赤峰
669,1746A,赤峰
670,1747A,赤峰
671,1748A,鞍山
672,1749A,鞍山
673,1750A,鞍山
674,1751A,鞍山
675,1752A,鞍山
676,1753A,鞍山
677,1754A,鞍山
678,1755A,抚顺
679,1756A,抚顺
680,1757A,抚顺
681,1758A,抚顺
682,1759A,抚顺
683,1760A,抚顺
684,1761A,本溪
685,1762A,本溪
686,1763A,本溪
687,1764A,本溪
688,1765A,本溪
689,1766A,本溪
690,1767A,锦州
691,1768A,锦州
692,1769A,锦州
693,1770A,锦州
694,1771A,锦州
695,1772A,吉林
696,1773A,吉林
697,1774A,吉林
698,1775A,吉林
699,1776A,吉林
700,1778A,吉林
701,1779A,齐齐哈尔
702,1780A,齐齐哈尔
703,1781A,齐齐哈尔
704,1782A,齐齐哈尔
705,1783A,齐齐哈尔
706,1784A,牡丹江
707,1785A,牡丹江
708,1786A,牡丹江
709,1787A,牡丹江
710,1788A,牡丹江
711,1789A,大庆
712,1790A,大庆
713,1791A,大庆
714,1792A,大庆
715,1793A,大庆
716,1794A,芜湖
717,1795A,芜湖
718,1796A,芜湖
719,1797A,芜湖
720,1798A,马鞍山
721,1799A,马鞍山
722,1800A,马鞍山
723,1801A,马鞍山
724,1802A,马鞍山
725,1803A,九江
726,1804A,九江
727,1805A,九江
728,1806A,九江
729,1807A,九江
730,1808A,九江
731,1809A,九江
732,1810A,九江
733,1811A,洛阳
734,1812A,洛阳
735,1813A,洛阳
736,1814A,洛阳
737,1815A,洛阳
738,1816A,洛阳
739,1817A,洛阳
740,1818A,安阳
741,1819A,安阳
742,1820A,安阳
743,1821A,安阳
744,1822A,安阳
745,1823A,开封
746,1824A,开封
747,1825A,开封
748,1826A,开封
749,1827A,焦作
750,1828A,焦作
751,1829A,焦作
752,1830A,焦作
753,1831A,平顶山
754,1832A,平顶山
755,1833A,平顶山
756,1834A,平顶山
757,1835A,三门峡
758,1836A,三门峡
759,1837A,三门峡
760,1838A,三门峡
761,1839A,宜昌
762,1840A,宜昌
763,1841A,宜昌
764,1842A,宜昌
765,1843A,宜昌
766,1844A,荆州
767,1845A,荆州
768,1846A,荆州
769,1847A,岳阳
770,1848A,岳阳
771,1849A,岳阳
772,1850A,岳阳
773,1851A,岳阳
774,1852A,岳阳
775,1853A,常德
776,1854A,常德
777,1855A,常德
778,1856A,常德
779,1857A,常德
780,1858A,张家界
781,1859A,张家界
782,1860A,张家界
783,1861A,张家界
784,1862A,桂林
785,1863A,桂林
786,1864A,桂林
787,1865A,桂林
788,1866A,北海
789,1867A,北海
790,1868A,北海
791,1869A,北海
792,1870A,柳州
793,1871A,柳州
794,1872A,柳州
795,1873A,柳州
796,1874A,柳州
797,1875A,柳州
798,1876A,三亚
799,1877A,三亚
800,1878A,绵阳
801,1879A,绵阳
802,1880A,绵阳
803,1881A,绵阳
804,1882A,宜宾
805,1883A,宜宾
806,1884A,宜宾
807,1885A,宜宾
808,1886A,宜宾
809,1887A,宜宾
810,1888A,攀枝花
811,1889A,攀枝花
812,1890A,攀枝花
813,1891A,攀枝花
814,1893A,泸州
815,1894A,泸州
816,1895A,泸州
817,1896A,泸州
818,1897A,自贡
819,1898A,自贡
820,1899A,自贡
821,1900A,自贡
822,1901A,德阳
823,1902A,德阳
824,1903A,德阳
825,1904A,德阳
826,1905A,南充
827,1906A,南充
828,1907A,南充
829,1908A,南充
830,1909A,南充
831,1910A,南充
832,1911A,遵义
833,1912A,遵义
834,1913A,遵义
835,1914A,遵义
836,1915A,遵义
837,1916A,曲靖
838,1917A,曲靖
839,1918A,咸阳
840,1919A,咸阳
841,1920A,咸阳
842,1921A,咸阳
843,1922A,铜川
844,1923A,铜川
845,1924A,铜川
846,1925A,铜川
847,1926A,延安
848,1927A,延安
849,1928A,延安
850,1929A,延安
851,1930A,宝鸡
852,1931A,宝鸡
853,1932A,宝鸡
854,1933A,宝鸡
855,1934A,宝鸡
856,1935A,宝鸡
857,1936A,宝鸡
858,1937A,宝鸡
859,1938A,渭南
860,1939A,渭南
861,1940A,渭南
862,1941A,渭南
863,1942A,金昌
864,1943A,金昌
865,1944A,金昌
866,1945A,嘉峪关
867,1947A,石嘴山
868,1948A,石嘴山
869,1949A,石嘴山
870,1950A,石嘴山
871,1951A,克拉玛依
872,1952A,克拉玛依
873,1953A,克拉玛依
874,1954A,克拉玛依
875,1955A,克拉玛依
876,1956A,巴音郭楞州
877,1957A,巴音郭楞州
878,1958A,巴音郭楞州
879,1959A,寿光
880,1960A,寿光
881,1961A,济南
882,1961A,章丘
883,1962A,章丘
884,1963A,即墨
885,1964A,即墨
886,1965A,胶南
887,1966A,青岛
888,1966A,胶南
889,1967A,胶州
890,1968A,胶州
891,1969A,莱西
892,1970A,莱西
893,1971A,平度
894,1972A,平度
895,1973A,蓬莱
896,1974A,蓬莱
897,1975A,招远
898,1976A,招远
899,1977A,莱州
900,1978A,莱州
901,1979A,荣成
902,1980A,荣成
903,1981A,文登
904,1982A,威海
905,1983A,乳山
906,1984A,乳山
907,1985A,吴江
908,1986A,吴江
909,1987A,吴江
910,1988A,昆山
911,1989A,昆山
912,1990A,常熟
913,1991A,常熟
914,1992A,常熟
915,1993A,张家港
916,1994A,张家港
917,1995A,太仓
918,1996A,太仓
919,1997A,句容
920,1998A,句容
921,1999A,江阴
922,2000A,江阴
923,2001A,江阴
924,2002A,宜兴
925,2003A,宜兴
926,2004A,金坛
927,2005A,金坛
928,2006A,溧阳
929,2007A,溧阳
930,2008A,海门
931,2009A,海门
932,2010A,临安
933,2011A,临安
934,2012A,富阳
935,2013A,富阳
936,2014A,义乌
937,2015A,义乌
938,2016A,诸暨
939,2017A,诸暨
940,2018A,瓦房店
941,2019A,瓦房店
942,2031A,株洲
943,2054A,信阳
944,2064A,信阳
945,2065A,信阳
946,2066A,信阳
947,2067A,周口
948,2068A,周口
949,2069A,周口
950,2070A,周口
951,2073A,漳州
952,2074A,漳州
953,2075A,漳州
954,2160A,晋城
955,2161A,晋城
956,2162A,晋城
957,2163A,晋城
958,2164A,晋城
959,2165A,晋城
960,2166A,朔州
961,2167A,朔州
962,2168A,朔州
963,2169A,朔州
964,2170A,朔州
965,2171A,晋中
966,2172A,晋中
967,2173A,晋中
968,2174A,晋中
969,2175A,运城
970,2176A,运城
971,2177A,运城
972,2178A,运城
973,2179A,运城
974,2180A,忻州
975,2181A,忻州
976,2182A,忻州
977,2183A,吕梁
978,2184A,吕梁
979,2185A,吕梁
980,2186A,乌海
981,2187A,乌海
982,2188A,乌海
983,2189A,通辽
984,2190A,通辽
985,2191A,通辽
986,2192A,呼伦贝尔
987,2193A,呼伦贝尔
988,2194A,巴彦淖尔
989,2195A,巴彦淖尔
990,2196A,巴彦淖尔
991,2197A,乌兰察布
992,2198A,乌兰察布
993,2199A,兴安盟
994,2200A,兴安盟
995,2201A,兴安盟
996,2202A,锡林郭勒盟
997,2203A,锡林郭勒盟
998,2204A,阿拉善盟
999,2205A,阿拉善盟
1000,2206A,阿拉善盟
1001,2207A,阜新
1002,2208A,阜新
1003,2209A,阜新
1004,2210A,阜新
1005,2211A,阜新
1006,2212A,辽阳
1007,2213A,辽阳
1008,2214A,辽阳
1009,2215A,辽阳
1010,2216A,铁岭
1011,2217A,铁岭
1012,2218A,铁岭
1013,2219A,铁岭
1014,2220A,朝阳
1015,2221A,朝阳
1016,2222A,朝阳
1017,2223A,朝阳
1018,2224A,四平
1019,2225A,四平
1020,2226A,四平
1021,2227A,辽源
1022,2228A,辽源
1023,2229A,通化
1024,2230A,通化
1025,2231A,白山
1026,2232A,白山
1027,2233A,松原
1028,2234A,松原
1029,2235A,白城
1030,2236A,白城
1031,2237A,延边朝鲜族自治州
1032,2238A,延边朝鲜族自治州
1033,2239A,延边朝鲜族自治州
1034,2240A,鸡西
1035,2241A,鸡西
1036,2242A,鸡西
1037,2243A,鸡西
1038,2244A,鹤岗
1039,2245A,鹤岗
1040,2246A,鹤岗
1041,2247A,鹤岗
1042,2248A,双鸭山
1043,2249A,双鸭山
1044,2250A,双鸭山
1045,2251A,双鸭山
1046,2252A,伊春
1047,2253A,伊春
1048,2254A,伊春
1049,2255A,佳木斯
1050,2256A,佳木斯
1051,2257A,佳木斯
1052,2258A,佳木斯
1053,2259A,佳木斯
1054,2260A,七台河
1055,2261A,七台河
1056,2262A,七台河
1057,2263A,黑河
1058,2264A,黑河
1059,2265A,黑河
1060,2266A,绥化
1061,2267A,绥化
1062,2268A,大兴安岭地区
1063,2269A,大兴安岭地区
1064,2270A,蚌埠
1065,2271A,蚌埠
1066,2272A,蚌埠
1067,2273A,蚌埠
1068,2274A,蚌埠
1069,2275A,蚌埠
1070,2276A,淮南
1071,2277A,淮南
1072,2278A,淮南
1073,2279A,淮南
1074,2280A,淮南
1075,2281A,淮南
1076,2282A,淮北
1077,2283A,淮北
1078,2284A,淮北
1079,2285A,铜陵
1080,2286A,铜陵
1081,2287A,铜陵
1082,2288A,铜陵
1083,2289A,铜陵
1084,2290A,铜陵
1085,2291A,安庆
1086,2292A,安庆
1087,2293A,安庆
1088,2294A,安庆
1089,2295A,黄山
1090,2296A,黄山
1091,2297A,黄山
1092,2298A,滁州
1093,2299A,滁州
1094,2300A,滁州
1095,2301A,阜阳
1096,2302A,阜阳
1097,2303A,阜阳
1098,2304A,宿州
1099,2305A,宿州
1100,2306A,宿州
1101,2307A,六安
1102,2308A,六安
1103,2309A,六安
1104,2310A,六安
1105,2311A,亳州
1106,2312A,亳州
1107,2313A,池州
1108,2314A,池州
1109,2315A,池州
1110,2316A,宣城
1111,2317A,宣城
1112,2318A,宣城
1113,2319A,莆田
1114,2320A,莆田
1115,2321A,莆田
1116,2322A,莆田
1117,2323A,莆田
1118,2324A,三明
1119,2325A,三明
1120,2326A,三明
1121,2327A,三明
1122,2331A,南平
1123,2332A,南平
1124,2333A,南平
1125,2334A,南平
1126,2335A,龙岩
1127,2336A,龙岩
1128,2337A,龙岩
1129,2338A,龙岩
1130,2339A,宁德
1131,2340A,宁德
1132,2341A,宁德
1133,2342A,景德镇
1134,2343A,景德镇
1135,2344A,景德镇
1136,2345A,景德镇
1137,2346A,景德镇
1138,2347A,萍乡
1139,2348A,萍乡
1140,2349A,萍乡
1141,2350A,萍乡
1142,2351A,萍乡
1143,2352A,新余
1144,2353A,新余
1145,2354A,新余
1146,2355A,新余
1147,2356A,新余
1148,2357A,鹰潭
1149,2358A,鹰潭
1150,2359A,鹰潭
1151,2360A,鹰潭
1152,2361A,鹰潭
1153,2362A,赣州
1154,2363A,赣州
1155,2364A,赣州
1156,2365A,赣州
1157,2366A,赣州
1158,2367A,吉安
1159,2368A,吉安
1160,2369A,吉安
1161,2370A,吉安
1162,2371A,宜春
1163,2372A,宜春
1164,2373A,宜春
1165,2374A,宜春
1166,2375A,宜春
1167,2376A,抚州
1168,2377A,抚州
1169,2378A,抚州
1170,2379A,抚州
1171,2380A,抚州
1172,2381A,上饶
1173,2382A,上饶
1174,2383A,上饶
1175,2384A,上饶
1176,2385A,鹤壁
1177,2386A,鹤壁
1178,2387A,鹤壁
1179,2388A,新乡
1180,2389A,新乡
1181,2390A,新乡
1182,2391A,新乡
1183,2392A,濮阳
1184,2393A,濮阳
1185,2394A,濮阳
1186,2395A,濮阳
1187,2396A,许昌
1188,2397A,许昌
1189,2398A,许昌
1190,2399A,漯河
1191,2400A,漯河
1192,2401A,漯河
1193,2402A,漯河
1194,2403A,南阳
1195,2404A,南阳
1196,2405A,南阳
1197,2406A,南阳
1198,2407A,南阳
1199,2408A,商丘
1200,2409A,商丘
1201,2410A,商丘
1202,2411A,商丘
1203,2420A,驻马店
1204,2421A,驻马店
1205,2422A,驻马店
1206,2423A,黄石
1207,2424A,黄石
1208,2425A,黄石
1209,2426A,黄石
1210,2427A,黄石
1211,2428A,十堰
1212,2429A,十堰
1213,2430A,十堰
1214,2431A,十堰
1215,2432A,襄阳
1216,2433A,襄阳
1217,2434A,襄阳
1218,2435A,襄阳
1219,2436A,鄂州
1220,2437A,鄂州
1221,2438A,鄂州
1222,2439A,荆门
1223,2440A,荆门
1224,2441A,荆门
1225,2442A,荆门
1226,2443A,孝感
1227,2444A,孝感
1228,2445A,黄冈
1229,2446A,黄冈
1230,2447A,咸宁
1231,2448A,咸宁
1232,2449A,咸宁
1233,2450A,咸宁
1234,2451A,随州
1235,2452A,随州
1236,2453A,随州
1237,2454A,恩施土家族苗族自治州
1238,2455A,恩施土家族苗族自治州
1239,2456A,衡阳
1240,2457A,衡阳
1241,2458A,衡阳
1242,2459A,衡阳
1243,2460A,衡阳
1244,2461A,衡阳
1245,2462A,邵阳
1246,2463A,邵阳
1247,2464A,邵阳
1248,2465A,邵阳
1249,2466A,邵阳
1250,2467A,益阳
1251,2468A,益阳
1252,2469A,益阳
1253,2470A,益阳
1254,2471A,益阳
1255,2472A,郴州
1256,2473A,郴州
1257,2474A,郴州
1258,2475A,郴州
1259,2476A,郴州
1260,2477A,永州
1261,2478A,永州
1262,2479A,永州
1263,2480A,永州
1264,2481A,永州
1265,2482A,怀化
1266,2483A,怀化
1267,2484A,怀化
1268,2485A,怀化
1269,2486A,怀化
1270,2487A,娄底
1271,2488A,娄底
1272,2489A,娄底
1273,2490A,娄底
1274,2491A,娄底
1275,2492A,湘西州
1276,2493A,湘西州
1277,2494A,湘西州
1278,2495A,梧州
1279,2496A,梧州
1280,2497A,梧州
1281,2498A,梧州
1282,2499A,防城港
1283,2500A,防城港
1284,2501A,防城港
1285,2502A,钦州
1286,2503A,钦州
1287,2504A,钦州
1288,2505A,贵港
1289,2506A,贵港
1290,2507A,贵港
1291,2508A,贵港
1292,2509A,玉林
1293,2510A,玉林
1294,2511A,玉林
1295,2512A,百色
1296,2513A,百色
1297,2514A,贺州
1298,2515A,贺州
1299,2516A,河池
1300,2517A,河池
1301,2518A,河池
1302,2519A,来宾
1303,2520A,来宾
1304,2521A,崇左
1305,2522A,崇左
1306,2523A,广元
1307,2524A,广元
1308,2525A,广元
1309,2526A,广元
1310,2527A,遂宁
1311,2528A,遂宁
1312,2529A,遂宁
1313,2530A,遂宁
1314,2531A,内江
1315,2532A,内江
1316,2533A,内江
1317,2534A,内江
1318,2535A,乐山
1319,2536A,乐山
1320,2537A,乐山
1321,2538A,乐山
1322,2539A,眉山
1323,2540A,眉山
1324,2541A,眉山
1325,2542A,眉山
1326,2543A,广安
1327,2544A,广安
1328,2545A,广安
