监测点编码,城市
1758A,抚顺
1759A,抚顺
1760A,抚顺
1761A,本溪
1762A,本溪
1763A,本溪
1764A,本溪
1765A,本溪
1766A,本溪
1767A,锦州
1768A,锦州
1769A,锦州
1770A,锦州
1771A,锦州
1772A,吉林
1773A,吉林
1774A,吉林
1775A,吉林
1776A,吉林
1778A,吉林
1779A,齐齐哈尔
1780A,齐齐哈尔
1781A,齐齐哈尔
1782A,齐齐哈尔
1783A,齐齐哈尔
1784A,牡丹江
1785A,牡丹江
1786A,牡丹江
1787A,牡丹江
1788A,牡丹江
1789A,大庆
1790A,大庆
1791A,大庆
1792A,大庆
1793A,大庆
1794A,芜湖
1795A,芜湖
1796A,芜湖
1797A,芜湖
1798A,马鞍山
1799A,马鞍山
1800A,马鞍山
1801A,马鞍山
1802A,马鞍山
1803A,九江
1804A,九江
1805A,九江
1806A,九江
1807A,九江
1808A,九江
1809A,九江
1810A,九江
1811A,洛阳
1812A,洛阳
1813A,洛阳
1814A,洛阳
1815A,洛阳
1816A,洛阳
1817A,洛阳
1818A,安阳
1819A,安阳
1820A,安阳
1821A,安阳
1822A,安阳
1823A,开封
1824A,开封
1825A,开封
1826A,开封
1827A,焦作
1828A,焦作
1829A,焦作
1830A,焦作
1831A,平顶山
1832A,平顶山
1833A,平顶山
1834A,平顶山
1835A,三门峡
1836A,三门峡
1837A,三门峡
1838A,三门峡
1839A,宜昌
1840A,宜昌
1841A,宜昌
1842A,宜昌
1843A,宜昌
1844A,荆州
1845A,荆州
1846A,荆州
1847A,岳阳
1848A,岳阳
1849A,岳阳
1850A,岳阳
1851A,岳阳
1852A,岳阳
1853A,常德
1854A,常德
1855A,常德
1856A,常德
1857A,常德
1858A,张家界
1859A,张家界
1860A,张家界
1861A,张家界
1862A,桂林
1863A,桂林
1864A,桂林
1865A,桂林
1866A,北海
1867A,北海
1868A,北海
1869A,北海
1870A,柳州
1871A,柳州
1872A,柳州
1873A,柳州
1874A,柳州
1875A,柳州
1876A,三亚
1877A,三亚
1878A,绵阳
1879A,绵阳
1880A,绵阳
1881A,绵阳
1882A,宜宾
1883A,宜宾
1884A,宜宾
1885A,宜宾
1886A,宜宾
1887A,宜宾
1888A,攀枝花
1889A,攀枝花
1890A,攀枝花
1891A,攀枝花
1893A,泸州
1894A,泸州
1895A,泸州
1896A,泸州
1897A,自贡
1898A,自贡
1899A,自贡
1900A,自贡
1901A,德阳
1902A,德阳
1903A,德阳
1904A,德阳
1905A,南充
1906A,南充
1907A,南充
1908A,南充
1909A,南充
1910A,南充
1911A,遵义
1912A,遵义
1913A,遵义
1914A,遵义
1915A,遵义
1916A,曲靖
1917A,曲靖
1918A,咸阳
1919A,咸阳
1920A,咸阳
1921A,咸阳
1922A,铜川
1923A,铜川
1924A,铜川
1925A,铜川
1926A,延安
1927A,延安
1928A,延安
1929A,延安
1930A,宝鸡
1931A,宝鸡
1932A,宝鸡
1933A,宝鸡
1934A,宝鸡
1935A,宝鸡
1936A,宝鸡
1937A,宝鸡
1938A,渭南
1939A,渭南
1940A,渭南
1941A,渭南
1942A,金昌
1943A,金昌
1944A,金昌
1945A,嘉峪关
1947A,石嘴山
1948A,石嘴山
1949A,石嘴山
1950A,石嘴山
1951A,克拉玛依
1952A,克拉玛依
1953A,克拉玛依
1954A,克拉玛依
1955A,克拉玛依
1956A,巴音郭楞州
1957A,巴音郭楞州
1958A,巴音郭楞州
1959A,寿光
1960A,寿光
1961A,济南
1961A,章丘
1962A,章丘
1963A,即墨
1964A,即墨
1965A,胶南
1966A,青岛
1966A,胶南
1967A,胶州
1968A,胶州
1969A,莱西
1970A,莱西
1971A,平度
1972A,平度
1973A,蓬莱
1974A,蓬莱
1975A,招远
1976A,招远
1977A,莱州
1978A,莱州
1979A,荣成
1980A,荣成
1981A,文登
1982A,威海
1983A,乳山
1984A,乳山
1985A,吴江
1986A,吴江
1987A,吴江
1988A,昆山
1989A,昆山
1990A,常熟
1991A,常熟
1992A,常熟
1993A,张家港
1994A,张家港
1995A,太仓
1996A,太仓
1997A,句容
1998A,句容
1999A,江阴
2000A,江阴
2001A,江阴
2002A,宜兴
2003A,宜兴
2004A,金坛
2005A,金坛
2006A,溧阳
2007A,溧阳
2008A,海门
2009A,海门
2010A,临安
2011A,临安
2012A,富阳
2013A,富阳
2014A,义乌
2015A,义乌
2016A,诸暨
2017A,诸暨
2018A,瓦房店
2019A,瓦房店
2031A,株洲
2054A,信阳
2064A,信阳
2065A,信阳
2066A,信阳
2067A,周口
2068A,周口
2069A,周口
2070A,周口
2073A,漳州
2074A,漳州
2075A,漳州
2160A,晋城
2161A,晋城
2162A,晋城
2163A,晋城
2164A,晋城
2165A,晋城
2166A,朔州
2167A,朔州
2168A,朔州
2169A,朔州
2170A,朔州
2171A,晋中
2172A,晋中
2173A,晋中
2174A,晋中
2175A,运城
2176A,运城
2177A,运城
2178A,运城
2179A,运城
2180A,忻州
2181A,忻州
2182A,忻州
2183A,吕梁
2184A,吕梁
2185A,吕梁
2186A,乌海
2187A,乌海
2188A,乌海
2189A,通辽
2190A,通辽
2191A,通辽
2192A,呼伦贝尔
2193A,呼伦贝尔
2194A,巴彦淖尔
2195A,巴彦淖尔
2196A,巴彦淖尔
2197A,乌兰察布
2198A,乌兰察布
2199A,兴安盟
2200A,兴安盟
2201A,兴安盟
2202A,锡林郭勒盟
2203A,锡林郭勒盟
2204A,阿拉善盟
2205A,阿拉善盟
2206A,阿拉善盟
2207A,阜新
2208A,阜新
2209A,阜新
2210A,阜新
2211A,阜新
2212A,辽阳
2213A,辽阳
2214A,辽阳
2215A,辽阳
2216A,铁岭
2217A,铁岭
2218A,铁岭
2219A,铁岭
2220A,朝阳
2221A,朝阳
2222A,朝阳
2223A,朝阳
2224A,四平
2225A,四平
2226A,四平
2227A,辽源
2228A,辽源
2229A,通化
2230A,通化
2231A,白山
2232A,白山
2233A,松原
2234A,松原
2235A,白城
2236A,白城
2237A,延边朝鲜族自治州
2238A,延边朝鲜族自治州
2239A,延边朝鲜族自治州
2240A,鸡西
2241A,鸡西
2242A,鸡西
2243A,鸡西
2244A,鹤岗
2245A,鹤岗
2246A,鹤岗
2247A,鹤岗
2248A,双鸭山
2249A,双鸭山
2250A,双鸭山
2251A,双鸭山
2252A,伊春
2253A,伊春
2254A,伊春
2255A,佳木斯
2256A,佳木斯
2257A,佳木斯
2258A,佳木斯
2259A,佳木斯
2260A,七台河
2261A,七台河
2262A,七台河
2263A,黑河
2264A,黑河
2265A,黑河
2266A,绥化
2267A,绥化
2268A,大兴安岭地区
2269A,大兴安岭地区
2270A,蚌埠
2271A,蚌埠
2272A,蚌埠
2273A,蚌埠
2274A,蚌埠
2275A,蚌埠
2276A,淮南
2277A,淮南
2278A,淮南
2279A,淮南
2280A,淮南
2281A,淮南
2282A,淮北
2283A,淮北
2284A,淮北
2285A,铜陵
2286A,铜陵
2287A,铜陵
2288A,铜陵
2289A,铜陵
2290A,铜陵
2291A,安庆
2292A,安庆
2293A,安庆
2294A,安庆
2295A,黄山
2296A,黄山
2297A,黄山
2298A,滁州
2299A,滁州
2300A,滁州
2301A,阜阳
2302A,阜阳
2303A,阜阳
2304A,宿州
2305A,宿州
2306A,宿州
2307A,六安
2308A,六安
2309A,六安
2310A,六安
2311A,亳州
2312A,亳州
2313A,池州
2314A,池州
2315A,池州
2316A,宣城
2317A,宣城
2318A,宣城
2319A,莆田
2320A,莆田
2321A,莆田
2322A,莆田
2323A,莆田
2324A,三明
2325A,三明
2326A,三明
2327A,三明
2331A,南平
2332A,南平
2333A,南平
2334A,南平
2335A,龙岩
2336A,龙岩
2337A,龙岩
2338A,龙岩
2339A,宁德
2340A,宁德
2341A,宁德
2342A,景德镇
2343A,景德镇
2344A,景德镇
2345A,景德镇
2346A,景德镇
2347A,萍乡
2348A,萍乡
2349A,萍乡
2350A,萍乡
2351A,萍乡
2352A,新余
2353A,新余
2354A,新余
2355A,新余
2356A,新余
2357A,鹰潭
2358A,鹰潭
2359A,鹰潭
2360A,鹰潭
2361A,鹰潭
2362A,赣州
2363A,赣州
2364A,赣州
2365A,赣州
2366A,赣州
2367A,吉安
2368A,吉安
2369A,吉安
2370A,吉安
2371A,宜春
2372A,宜春
2373A,宜春
2374A,宜春
2375A,宜春
2376A,抚州
2377A,抚州
2378A,抚州
2379A,抚州
2380A,抚州
2381A,上饶
2382A,上饶
2383A,上饶
2384A,上饶
2385A,鹤壁
2386A,鹤壁
2387A,鹤壁
2388A,新乡
2389A,新乡
2390A,新乡
2391A,新乡
2392A,濮阳
2393A,濮阳
2394A,濮阳
2395A,濮阳
2396A,许昌
2397A,许昌
2398A,许昌
2399A,漯河
2400A,漯河
2401A,漯河
2402A,漯河
2403A,南阳
2404A,南阳
2405A,南阳
2406A,南阳
2407A,南阳
2408A,商丘
2409A,商丘
2410A,商丘
2411A,商丘
2420A,驻马店
2421A,驻马店
2422A,驻马店
2423A,黄石
2424A,黄石
2425A,黄石
2426A,黄石
2427A,黄石
2428A,十堰
2429A,十堰
2430A,十堰
2431A,十堰
2432A,襄阳
2433A,襄阳
2434A,襄阳
2435A,襄阳
2436A,鄂州
2437A,鄂州
2438A,鄂州
2439A,荆门
2440A,荆门
2441A,荆门
2442A,荆门
2443A,孝感
2444A,孝感
2445A,黄冈
2446A,黄冈
2447A,咸宁
2448A,咸宁
2449A,咸宁
2450A,咸宁
2451A,随州
2452A,随州
2453A,随州
2454A,恩施土家族苗族自治州
2455A,恩施土家族苗族自治州
2456A,衡阳
2457A,衡阳
2458A,衡阳
2459A,衡阳
2460A,衡阳
2461A,衡阳
2462A,邵阳
2463A,邵阳
2464A,邵阳
2465A,邵阳
2466A,邵阳
2467A,益阳
2468A,益阳
2469A,益阳
2470A,益阳
2471A,益阳
2472A,郴州
2473A,郴州
2474A,郴州
2475A,郴州
2476A,郴州
2477A,永州
2478A,永州
2479A,永州
2480A,永州
2481A,永州
2482A,怀化
2483A,怀化
2484A,怀化
2485A,怀化
2486A,怀化
2487A,娄底
2488A,娄底
2489A,娄底
2490A,娄底
2491A,娄底
2492A,湘西州
2493A,湘西州
2494A,湘西州
2495A,梧州
2496A,梧州
2497A,梧州
2498A,梧州
2499A,防城港
2500A,防城港
2501A,防城港
2502A,钦州
2503A,钦州
2504A,钦州
2505A,贵港
2506A,贵港
2507A,贵港
2508A,贵港
2509A,玉林
2510A,玉林
2511A,玉林
2512A,百色
2513A,百色
2514A,贺州
2515A,贺州
2516A,河池
2517A,河池
2518A,河池
2519A,来宾
2520A,来宾
2521A,崇左
2522A,崇左
2523A,广元
2524A,广元
2525A,广元
2526A,广元
2527A,遂宁
2528A,遂宁
2529A,遂宁
2530A,遂宁
2531A,内江
2532A,内江
2533A,内江
2534A,内江
2535A,乐山
2536A,乐山
2537A,乐山
2538A,乐山
2539A,眉山
2540A,眉山
2541A,眉山
2542A,眉山
2543A,广安
2544A,广安
2545A,广安
2546A,广安
2547A,广安
2548A,达州
2549A,达州
2550A,达州
2551A,达州
2552A,达州
2553A,雅安
2554A,雅安
2555A,雅安
2556A,雅安
2557A,巴中
2558A,巴中
2559A,巴中
2560A,巴中
2561A,资阳
2562A,资阳
2563A,资阳
2564A,资阳
2565A,资阳
2566A,阿坝藏族羌族自治州
2567A,阿坝藏族羌族自治州
2568A,阿坝藏族羌族自治州
2569A,甘孜州
2570A,甘孜藏族自治州
2571A,凉山彝族自治州
2572A,凉山彝族自治州
2573A,凉山彝族自治州
2574A,凉山彝族自治州
2575A,凉山彝族自治州
2576A,六盘水
2577A,六盘水
2578A,六盘水
2579A,六盘水
2580A,六盘水
2581A,安顺
2582A,安顺
2583A,安顺
2584A,安顺
2585A,铜仁地区
2586A,铜仁地区
2587A,毕节
2588A,毕节
2589A,黔西南布依族苗族自治州
2590A,黔西南布依族苗族自治州
2591A,黔东南苗族侗族自治州
2592A,黔东南州
2593A,黔南布依族苗族自治州
2594A,保山
2595A,保山
2596A,昭通
2597A,昭通
2598A,丽江
2599A,丽江
2600A,丽江
2601A,普洱
2602A,普洱
2603A,临沧
2604A,临沧
2605A,楚雄州
2606A,楚雄州
2607A,红河州
2608A,红河州
2609A,红河州
2610A,文山州
2611A,文山州
2612A,西双版纳州
2613A,西双版纳州
2614A,大理州
2615A,大理州
2616A,德宏州
2617A,德宏州
2618A,怒江州
2619A,怒江州
2620A,迪庆州
2621A,迪庆州
2622A,昌都
2623A,昌都
2624A,山南
2625A,山南
2626A,日喀则
2627A,日喀则
2628A,那曲地区
2629A,那曲
2630A,阿里地区
2631A,阿里地区
2632A,林芝
2633A,林芝
2634A,汉中
2635A,汉中
2636A,汉中
2637A,汉中
2638A,榆林
2639A,榆林
2640A,榆林
2641A,榆林
2642A,安康
2643A,安康
2644A,安康
2645A,商洛
2646A,商洛
2647A,白银
2648A,白银
2649A,天水
2650A,天水
2651A,天水
2652A,武威
2653A,武威
2654A,张掖
2655A,张掖
2656A,平凉
2657A,平凉
2658A,酒泉
2659A,酒泉
2660A,庆阳
2661A,庆阳
2662A,庆阳
2663A,定西
2664A,定西
2665A,陇南
2666A,陇南
2667A,临夏回族自治州
2668A,临夏回族自治州
2669A,甘南州
2670A,海东地区
2671A,海北藏族自治州
2672A,黄南藏族自治州
2673A,海南藏族自治州
2674A,果洛藏族自治州
2675A,玉树藏族自治州
2676A,海西蒙古族藏族自治州
2677A,吴忠
2678A,吴忠
2679A,吴忠
2680A,中卫
2681A,中卫
2682A,中卫
2683A,固原
2684A,固原
2685A,固原
2686A,吐鲁番地区
2687A,吐鲁番地区
2688A,哈密地区
2689A,哈密地区
2690A,昌吉州
2691A,昌吉州
2692A,昌吉州
2693A,博尔塔拉蒙古自治州
2694A,博尔塔拉蒙古自治州
2695A,阿克苏地区
2696A,阿克苏地区
2697A,克孜勒苏柯尔克孜自治州
2698A,喀什地区
2699A,喀什地区
2700A,喀什地区
2701A,和田地区
2702A,和田地区
2703A,伊犁哈萨克州
2704A,伊犁哈萨克州
2705A,伊犁哈萨克州
2706A,塔城地区
2707A,阿勒泰地区
2708A,阿勒泰地区
2709A,石河子
2710A,石河子
2711A,五家渠
2835A,攀枝花
2842A,厦门
2845A,长治
2846A,广州
2858A,天津
2859A,天津
2860A,天津
2862A,石家庄
2865A,晋中
2866A,运城
2867A,吕梁
2868A,吉林
2869A,扬州
2870A,镇江
2871A,宁波
2872A,嘉兴
2873A,湖州
2874A,淮南
2875A,阜阳
2876A,潍坊
2877A,潍坊
2878A,聊城
2880A,成都
2881A,黔东南苗族侗族自治州
2882A,玉溪
2883A,玉溪
2884A,嘉峪关
2885A,陇南
2894A,淮南
2897A,沈阳
2900A,沈阳
2902A,广安
2907A,湖州
2914A,巴中
2915A,巴中
2916A,池州
2919A,廊坊
2920A,漳州
2921A,绍兴
2922A,天津
2923A,大同
2924A,银川
2925A,银川
2926A,银川
2929A,黄冈
2994A,金华
2996A,宿迁
2997A,泰州
2998A,连云港
2999A,连云港
3000A,连云港
3002A,常州
3003A,常州
3004A,盐城
3005A,徐州
3006A,徐州
3007A,连云港
3008A,连云港
3009A,连云港
3010A,常州
3012A,荆门
3014A,重庆
3015A,重庆
3016A,重庆
3018A,临汾
3019A,三沙
3020A,天津
3021A,濮阳
3022A,洛阳
3025A,清远
3026A,潮州
3027A,自贡
3028A,自贡
3033A,乌鲁木齐
3034A,乌兰察布
3035A,兴安盟
3036A,东营
3038A,红河州
3039A,三门峡
3045A,商洛
3046A,南昌
3048A,福州
3051A,天津
3054A,新乡
3055A,西宁
3057A,烟台
3058A,赤峰
3059A,济南
3061A,呼伦贝尔
3064A,济南
3065A,甘孜藏族自治州
3066A,德州
3109A,赣州
3122A,安顺
3123A,安顺
3124A,安顺
3125A,安顺
3128A,那曲地区
3129A,海东地区
3131A,张家口
3132A,秦皇岛
3133A,重庆
3134A,许昌
3136A,成都
3137A,眉山
3138A,常德
3139A,常德
3140A,常德
3141A,安阳
3147A,开封
3148A,眉山
3149A,黄石
3151A,宜春
3153A,武汉
3164A,扬州
3165A,咸阳
3169A,焦作
3170A,金昌
3171A,商丘
3173A,安庆
3178A,潍坊
3179A,昆明
3180A,迪庆州
3182A,巴中
3183A,巴中
3184A,哈尔滨
3185A,太原
3186A,兰州
3187A,宿州
3188A,衡水
3190A,九江
3191A,宿迁
3192A,阿里地区
3194A,荆州
3195A,扬州
3200A,聊城
3201A,武威
3204A,平顶山
3206A,新余
3207A,滁州
3208A,忻州
3209A,宁德
3210A,开封
3216A,漳州
3237A,池州
3238A,芜湖
3239A,辽源
3241A,兰州
3242A,兰州
3245A,兰州新区
3246A,兰州新区
3247A,陇南
3248A,嘉峪关
3265A,上海
3266A,上海
3268A,上海
3269A,上海
3270A,上海
3271A,上海
3272A,上海
3273A,上海
3274A,上海
3281A,北京
3282A,大同
3283A,包头
3284A,乌海
3285A,乌兰察布
3286A,赤峰
