监测点编码,城市,省
1006A,北京,北京市
1006A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1007A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1008A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1009A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1010A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1011A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1012A,北京,北京市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1013A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1014A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1015A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1016A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1017A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1018A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1019A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1020A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1021A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1022A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1023A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1024A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1025A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1026A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1027A,天津,天津市
1028A,石家庄,河北省
1029A,石家庄,河北省
1030A,石家庄,河北省
1031A,石家庄,河北省
1032A,石家庄,河北省
1033A,石家庄,河北省
1034A,石家庄,河北省
1035A,石家庄,河北省
1036A,唐山,河北省
1037A,唐山,河北省
1038A,唐山,河北省
1039A,唐山,河北省
1040A,唐山,河北省
1041A,唐山,河北省
1042A,秦皇岛,河北省
1043A,秦皇岛,河北省
1044A,秦皇岛,河北省
1045A,秦皇岛,河北省
1046A,秦皇岛,河北省
1047A,邯郸,河北省
1048A,邯郸,河北省
1049A,邯郸,河北省
1050A,邯郸,河北省
1051A,保定,河北省
1052A,保定,河北省
1053A,保定,河北省
1054A,保定,河北省
1055A,保定,河北省
1056A,保定,河北省
1057A,张家口,河北省
1058A,张家口,河北省
1059A,张家口,河北省
1060A,张家口,河北省
1061A,张家口,河北省
1062A,承德,河北省
1063A,承德,河北省
1064A,承德,河北省
1065A,承德,河北省
1066A,承德,河北省
1067A,廊坊,河北省
1068A,廊坊,河北省
1069A,廊坊,河北省
1070A,廊坊,河北省
1071A,沧州,河北省
1072A,沧州,河北省
1073A,沧州,河北省
1074A,衡水,河北省
1075A,衡水,河北省
1076A,衡水,河北省
1077A,邢台,河北省
1078A,邢台,河北省
1079A,邢台,河北省
1080A,邢台,河北省
1081A,太原,山西省
1082A,太原,山西省
1083A,太原,山西省
1084A,太原,山西省
1085A,太原,山西省
1086A,太原,山西省
1087A,太原,山西省
1088A,太原,山西省
1089A,太原,山西省
1090A,呼和浩特,内蒙古自治区
1091A,呼和浩特,内蒙古自治区
1092A,呼和浩特,内蒙古自治区
1093A,呼和浩特,内蒙古自治区
1094A,呼和浩特,内蒙古自治区
1095A,呼和浩特,内蒙古自治区
1096A,呼和浩特,内蒙古自治区
1097A,呼和浩特,内蒙古自治区
1098A,沈阳,辽宁省
1099A,沈阳,辽宁省
1100A,沈阳,辽宁省
1101A,沈阳,辽宁省
1102A,沈阳,辽宁省
1103A,沈阳,辽宁省
1104A,沈阳,辽宁省
1105A,沈阳,辽宁省
1106A,沈阳,辽宁省
1107A,沈阳,辽宁省
1108A,沈阳,辽宁省
1109A,大连,辽宁省
1110A,大连,辽宁省
1111A,大连,辽宁省
1112A,大连,辽宁省
1113A,大连,辽宁省
1114A,大连,辽宁省
1115A,大连,辽宁省
1116A,大连,辽宁省
1117A,大连,辽宁省
1118A,大连,辽宁省
1119A,长春,吉林省
1120A,长春,吉林省
1121A,长春,吉林省
1122A,长春,吉林省
1123A,长春,吉林省
1124A,长春,吉林省
1125A,长春,吉林省
1126A,长春,吉林省
1127A,长春,吉林省
1128A,长春,吉林省
1129A,哈尔滨,黑龙江省
1130A,哈尔滨,黑龙江省
1131A,哈尔滨,黑龙江省
1132A,哈尔滨,黑龙江省
1133A,哈尔滨,黑龙江省
1134A,哈尔滨,黑龙江省
1135A,哈尔滨,黑龙江省
1136A,哈尔滨,黑龙江省
1137A,哈尔滨,黑龙江省
1138A,哈尔滨,黑龙江省
1139A,哈尔滨,黑龙江省
1140A,哈尔滨,黑龙江省
1151A,南京,江苏省
1152A,南京,江苏省
1153A,南京,江苏省
1154A,南京,江苏省
1155A,南京,江苏省
1156A,南京,江苏省
1157A,南京,江苏省
1158A,南京,江苏省
1159A,南京,江苏省
1160A,苏州,江苏省
1161A,苏州,江苏省
1162A,苏州,江苏省
1163A,苏州,江苏省
1164A,苏州,江苏省
1165A,苏州,江苏省
1166A,苏州,江苏省
1167A,苏州,江苏省
1168A,南通,江苏省
1169A,南通,江苏省
1170A,南通,江苏省
1171A,南通,江苏省
1172A,南通,江苏省
1173A,连云港,江苏省
1174A,连云港,江苏省
1175A,连云港,江苏省
1176A,连云港,江苏省
1177A,徐州,江苏省
1178A,徐州,江苏省
1179A,徐州,江苏省
1180A,徐州,江苏省
1181A,徐州,江苏省
1182A,徐州,江苏省
1183A,徐州,江苏省
1184A,扬州,江苏省
1185A,扬州,江苏省
1186A,扬州,江苏省
1187A,扬州,江苏省
1188A,无锡,江苏省
1189A,无锡,江苏省
1190A,无锡,江苏省
1191A,无锡,江苏省
1192A,无锡,江苏省
1193A,无锡,江苏省
1194A,无锡,江苏省
1195A,无锡,江苏省
1196A,常州,江苏省
1197A,常州,江苏省
1198A,常州,江苏省
1199A,常州,江苏省
1200A,常州,江苏省
1201A,常州,江苏省
1202A,镇江,江苏省
1203A,镇江,江苏省
1204A,镇江,江苏省
1205A,镇江,江苏省
1206A,泰州,江苏省
1207A,泰州,江苏省
1208A,泰州,江苏省
1209A,泰州,江苏省
1210A,淮安,江苏省
1211A,淮安,江苏省
1212A,淮安,江苏省
1213A,淮安,江苏省
1214A,淮安,江苏省
1215A,盐城,江苏省
1216A,盐城,江苏省
1217A,盐城,江苏省
1218A,盐城,江苏省
1219A,宿迁,江苏省
1220A,宿迁,江苏省
1221A,宿迁,江苏省
1222A,宿迁,江苏省
1223A,杭州,浙江省
1224A,杭州,浙江省
1225A,杭州,浙江省
1226A,杭州,浙江省
1227A,杭州,浙江省
1228A,杭州,浙江省
1229A,杭州,浙江省
1230A,杭州,浙江省
1231A,杭州,浙江省
1232A,杭州,浙江省
1233A,杭州,浙江省
1234A,宁波,浙江省
1235A,宁波,浙江省
1236A,宁波,浙江省
1237A,宁波,浙江省
1238A,宁波,浙江省
1239A,宁波,浙江省
1240A,宁波,浙江省
1241A,宁波,浙江省
1242A,温州,浙江省
1243A,温州,浙江省
1244A,温州,浙江省
1245A,温州,浙江省
1246A,绍兴,浙江省
1247A,绍兴,浙江省
1248A,绍兴,浙江省
1249A,湖州,浙江省
1250A,湖州,浙江省
1251A,湖州,浙江省
1252A,嘉兴,浙江省
1253A,嘉兴,浙江省
1254A,嘉兴,浙江省
1255A,台州,浙江省
1256A,台州,浙江省
1257A,台州,浙江省
1258A,舟山,浙江省
1259A,舟山,浙江省
1260A,舟山,浙江省
1261A,金华,浙江省
1262A,金华,浙江省
1263A,金华,浙江省
1264A,衢州,浙江省
1265A,衢州,浙江省
1266A,衢州,浙江省
1267A,丽水,浙江省
1268A,丽水,浙江省
1269A,丽水,浙江省
1270A,合肥,安徽省
1271A,合肥,安徽省
1272A,合肥,安徽省
1273A,合肥,安徽省
1274A,合肥,安徽省
1275A,合肥,安徽省
1276A,合肥,安徽省
1277A,合肥,安徽省
1278A,合肥,安徽省
1279A,合肥,安徽省
1280A,福州,福建省
1281A,福州,福建省
1282A,福州,福建省
1283A,福州,福建省
1284A,福州,福建省
1285A,福州,福建省
1286A,厦门,福建省
1287A,厦门,福建省
1288A,厦门,福建省
1290A,南昌,江西省
1291A,南昌,江西省
1292A,南昌,江西省
1293A,南昌,江西省
1294A,南昌,江西省
1295A,南昌,江西省
1296A,南昌,江西省
1297A,南昌,江西省
1298A,南昌,江西省
1299A,济南,山东省
1300A,济南,山东省
1301A,济南,山东省
1302A,济南,山东省
1303A,济南,山东省
1304A,济南,山东省
1305A,济南,山东省
1306A,济南,山东省
1307A,青岛,山东省
1308A,青岛,山东省
1309A,青岛,山东省
1310A,青岛,山东省
1311A,青岛,山东省
1312A,青岛,山东省
1313A,青岛,山东省
1314A,青岛,山东省
1315A,青岛,山东省
1316A,郑州,河南省
1317A,郑州,河南省
1318A,郑州,河南省
1319A,郑州,河南省
1320A,郑州,河南省
1321A,郑州,河南省
1322A,郑州,河南省
1323A,郑州,河南省
1324A,郑州,河南省
1325A,武汉,湖北省
1326A,武汉,湖北省
1327A,武汉,湖北省
1328A,武汉,湖北省
1329A,武汉,湖北省
1330A,武汉,湖北省
1331A,武汉,湖北省
1332A,武汉,湖北省
1333A,武汉,湖北省
1334A,武汉,湖北省
1335A,长沙,湖南省
1336A,长沙,湖南省
1337A,长沙,湖南省
1338A,长沙,湖南省
1339A,长沙,湖南省
1340A,长沙,湖南省
1341A,长沙,湖南省
1342A,长沙,湖南省
1343A,长沙,湖南省
1344A,长沙,湖南省
1345A,广州,广东省
1346A,广州,广东省
1347A,广州,广东省
1348A,广州,广东省
1349A,广州,广东省
1350A,广州,广东省
1351A,广州,广东省
1352A,广州,广东省
1353A,广州,广东省
1354A,广州,广东省
1355A,广州,广东省
1356A,深圳,广东省
1357A,深圳,广东省
1358A,深圳,广东省
1359A,深圳,广东省
1360A,深圳,广东省
1361A,深圳,广东省
1362A,深圳,广东省
1363A,深圳,广东省
1364A,深圳,广东省
1365A,深圳,广东省
1366A,深圳,广东省
1367A,珠海,广东省
1368A,珠海,广东省
1369A,珠海,广东省
1370A,珠海,广东省
1371A,佛山,广东省
1372A,佛山,广东省
1373A,佛山,广东省
1374A,佛山,广东省
1375A,佛山,广东省
1376A,佛山,广东省
1377A,佛山,广东省
1378A,佛山,广东省
1379A,中山,广东省
1380A,中山,广东省
1381A,中山,广东省
1382A,中山,广东省
1383A,江门,广东省
1384A,江门,广东省
1385A,江门,广东省
1386A,江门,广东省
1387A,东莞,广东省
1388A,东莞,广东省
1389A,东莞,广东省
1390A,东莞,广东省
1391A,东莞,广东省
1392A,惠州,广东省
1393A,惠州,广东省
1394A,惠州,广东省
1395A,惠州,广东省
1396A,惠州,广东省
1397A,肇庆,广东省
1398A,肇庆,广东省
1399A,肇庆,广东省
1400A,肇庆,广东省
1401A,南宁,广西壮族自治区
1402A,南宁,广西壮族自治区
1403A,南宁,广西壮族自治区
1404A,南宁,广西壮族自治区
1405A,南宁,广西壮族自治区
1406A,南宁,广西壮族自治区
1407A,南宁,广西壮族自治区
1408A,南宁,广西壮族自治区
1409A,海口,海南省
1410A,海口,海南省
1411A,海口,海南省
1412A,海口,海南省
1413A,海口,海南省
1431A,成都,四川省
1432A,成都,四川省
1433A,成都,四川省
1434A,成都,四川省
1435A,成都,四川省
1436A,成都,四川省
1437A,成都,四川省
1438A,成都,四川省
1439A,贵阳,贵州省
1440A,贵阳,贵州省
1441A,贵阳,贵州省
1442A,贵阳,贵州省
1443A,贵阳,贵州省
1444A,贵阳,贵州省
1445A,贵阳,贵州省
1446A,贵阳,贵州省
1447A,贵阳,贵州省
1449A,昆明,云南省
1450A,昆明,云南省
1451A,昆明,云南省
1452A,昆明,云南省
1453A,昆明,云南省
1454A,昆明,云南省
1455A,昆明,云南省
1456A,拉萨,西藏自治区
1457A,拉萨,西藏自治区
1458A,拉萨,西藏自治区
1459A,拉萨,西藏自治区
1460A,拉萨,西藏自治区
1461A,拉萨,西藏自治区
1462A,西安,陕西省
1463A,西安,陕西省
1464A,西安,陕西省
1465A,西安,陕西省
1466A,西安,陕西省
1467A,西安,陕西省
1468A,西安,陕西省
1469A,西安,陕西省
1470A,西安,陕西省
1471A,西安,陕西省
1472A,西安,陕西省
1473A,西安,陕西省
1474A,西安,陕西省
1475A,兰州,甘肃省
1476A,兰州,甘肃省
1477A,兰州,甘肃省
1478A,兰州,甘肃省
1479A,兰州,甘肃省
1480A,西宁,青海省
1481A,西宁,青海省
1482A,西宁,青海省
1483A,西宁,青海省
1484A,银川,宁夏回族自治区
1485A,银川,宁夏回族自治区
1486A,银川,宁夏回族自治区
1487A,银川,宁夏回族自治区
1488A,银川,宁夏回族自治区
1489A,银川,宁夏回族自治区
1490A,乌鲁木齐,新疆维吾尔自治区
1491A,乌鲁木齐,新疆维吾尔自治区
1492A,乌鲁木齐,新疆维吾尔自治区
1493A,乌鲁木齐,新疆维吾尔自治区
1494A,乌鲁木齐,新疆维吾尔自治区
1495A,乌鲁木齐,新疆维吾尔自治区
1496A,乌鲁木齐,新疆维吾尔自治区
1508A,湘潭,湖南省
1511A,湘潭,湖南省
1512A,湘潭,湖南省
1513A,湘潭,湖南省
1514A,湘潭,湖南省
1515A,株洲,湖南省
1518A,株洲,湖南省
1519A,株洲,湖南省
1520A,株洲,湖南省
1524A,株洲,湖南省
1552A,贵阳,贵州省
1559A,株洲,湖南省
1562A,湘潭,湖南省
1564A,湘潭,湖南省
1585A,包头,内蒙古自治区
1586A,包头,内蒙古自治区
1587A,包头,内蒙古自治区
1588A,包头,内蒙古自治区
1589A,包头,内蒙古自治区
1590A,包头,内蒙古自治区
1591A,鄂尔多斯,内蒙古自治区
1592A,鄂尔多斯,内蒙古自治区
1593A,鄂尔多斯,内蒙古自治区
1594A,鄂尔多斯,内蒙古自治区
1595A,鄂尔多斯,内蒙古自治区
1596A,营口,辽宁省
1597A,营口,辽宁省
1598A,营口,辽宁省
1599A,营口,辽宁省
1600A,丹东,辽宁省
1601A,丹东,辽宁省
1602A,丹东,辽宁省
1603A,丹东,辽宁省
1604A,盘锦,辽宁省
1605A,盘锦,辽宁省
1606A,盘锦,辽宁省
1607A,葫芦岛,辽宁省
1608A,葫芦岛,辽宁省
1609A,葫芦岛,辽宁省
1610A,葫芦岛,辽宁省
1611A,泉州,福建省
1612A,泉州,福建省
1613A,泉州,福建省
1614A,泉州,福建省
1615A,济南,山东省
1616A,济南,山东省
1617A,济南,山东省
1618A,临沂,山东省
1619A,临沂,山东省
1620A,临沂,山东省
1621A,临沂,山东省
1622A,德州,山东省
1623A,德州,山东省
1624A,德州,山东省
1625A,聊城,山东省
1626A,聊城,山东省
1627A,聊城,山东省
1628A,滨州,山东省
1629A,滨州,山东省
1630A,滨州,山东省
1631A,淄博,山东省
1632A,淄博,山东省
1633A,淄博,山东省
1634A,淄博,山东省
1635A,淄博,山东省
1636A,淄博,山东省
1637A,枣庄,山东省
1638A,枣庄,山东省
1639A,枣庄,山东省
1640A,枣庄,山东省
1641A,枣庄,山东省
1642A,烟台,山东省
1643A,烟台,山东省
1644A,烟台,山东省
1645A,烟台,山东省
1646A,烟台,山东省
1647A,烟台,山东省
1648A,潍坊,山东省
1649A,潍坊,山东省
1650A,潍坊,山东省
1651A,潍坊,山东省
1652A,潍坊,山东省
1653A,济宁,山东省
1654A,济宁,山东省
1655A,济宁,山东省
1656A,泰安,山东省
1657A,泰安,山东省
1658A,泰安,山东省
1659A,日照,山东省
1660A,日照,山东省
1661A,日照,山东省
1662A,威海,山东省
1663A,威海,山东省
1664A,威海,山东省
1665A,东营,山东省
1666A,东营,山东省
1667A,东营,山东省
1668A,东营,山东省
1669A,韶关,广东省
1670A,韶关,广东省
1671A,韶关,广东省
1672A,韶关,广东省
1673A,韶关,广东省
1674A,汕头,广东省
1675A,汕头,广东省
1676A,汕头,广东省
1677A,汕头,广东省
1678A,汕头,广东省
1679A,汕头,广东省
1680A,湛江,广东省
1681A,湛江,广东省
1682A,湛江,广东省
1683A,湛江,广东省
1684A,湛江,广东省
1685A,湛江,广东省
1686A,茂名,广东省
1687A,茂名,广东省
1688A,茂名,广东省
1689A,茂名,广东省
1690A,梅州,广东省
1691A,梅州,广东省
1692A,梅州,广东省
1693A,汕尾,广东省
1694A,汕尾,广东省
1695A,汕尾,广东省
1696A,河源,广东省
1697A,河源,广东省
1698A,河源,广东省
1699A,阳江,广东省
1700A,阳江,广东省
1701A,阳江,广东省
1702A,清远,广东省
1703A,清远,广东省
1704A,清远,广东省
1705A,潮州,广东省
1706A,潮州,广东省
1707A,潮州,广东省
1708A,揭阳,广东省
1709A,揭阳,广东省
1710A,揭阳,广东省
1711A,揭阳,广东省
1712A,云浮,广东省
1713A,云浮,广东省
1714A,云浮,广东省
1715A,玉溪,云南省
1716A,玉溪,云南省
1717A,玉溪,云南省
1718A,菏泽,山东省
1719A,菏泽,山东省
1720A,菏泽,山东省
1721A,大同,山西省
1722A,大同,山西省
1723A,大同,山西省
1724A,大同,山西省
1725A,大同,山西省
1726A,大同,山西省
1727A,长治,山西省
1728A,长治,山西省
1729A,长治,山西省
1730A,长治,山西省
1731A,长治,山西省
1732A,临汾,山西省
1733A,临汾,山西省
1734A,临汾,山西省
1735A,临汾,山西省
1736A,临汾,山西省
1737A,临汾,山西省
1738A,阳泉,山西省
1739A,阳泉,山西省
1740A,阳泉,山西省
1741A,阳泉,山西省
1742A,阳泉,山西省
1743A,阳泉,山西省
1744A,赤峰,内蒙古自治区
1745A,赤峰,内蒙古自治区
1746A,赤峰,内蒙古自治区
1747A,赤峰,内蒙古自治区
1748A,鞍山,辽宁省
1749A,鞍山,辽宁省
1750A,鞍山,辽宁省
1751A,鞍山,辽宁省
1752A,鞍山,辽宁省
1753A,鞍山,辽宁省
1754A,鞍山,辽宁省
1755A,抚顺,辽宁省
1756A,抚顺,辽宁省
1757A,抚顺,辽宁省
1758A,抚顺,辽宁省
1759A,抚顺,辽宁省
1760A,抚顺,辽宁省
1761A,本溪,辽宁省
1762A,本溪,辽宁省
1763A,本溪,辽宁省
1764A,本溪,辽宁省
1765A,本溪,辽宁省
1766A,本溪,辽宁省
1767A,锦州,辽宁省
1768A,锦州,辽宁省
1769A,锦州,辽宁省
1770A,锦州,辽宁省
1771A,锦州,辽宁省
1772A,吉林,吉林省
1773A,吉林,吉林省
1774A,吉林,吉林省
1775A,吉林,吉林省
1776A,吉林,吉林省
1778A,吉林,吉林省
1779A,齐齐哈尔,黑龙江省
1780A,齐齐哈尔,黑龙江省
1781A,齐齐哈尔,黑龙江省
1782A,齐齐哈尔,黑龙江省
1783A,齐齐哈尔,黑龙江省
1784A,牡丹江,黑龙江省
1785A,牡丹江,黑龙江省
1786A,牡丹江,黑龙江省
1787A,牡丹江,黑龙江省
1788A,牡丹江,黑龙江省
1789A,大庆,黑龙江省
1790A,大庆,黑龙江省
1791A,大庆,黑龙江省
1792A,大庆,黑龙江省
1793A,大庆,黑龙江省
1794A,芜湖,安徽省
1795A,芜湖,安徽省
1796A,芜湖,安徽省
1797A,芜湖,安徽省
1798A,马鞍山,安徽省
1799A,马鞍山,安徽省
1800A,马鞍山,安徽省
1801A,马鞍山,安徽省
1802A,马鞍山,安徽省
1803A,九江,江西省
1804A,九江,江西省
1805A,九江,江西省
1806A,九江,江西省
1807A,九江,江西省
1808A,九江,江西省
1809A,九江,江西省
1810A,九江,江西省
1811A,洛阳,河南省
1812A,洛阳,河南省
1813A,洛阳,河南省
1814A,洛阳,河南省
1815A,洛阳,河南省
1816A,洛阳,河南省
1817A,洛阳,河南省
1818A,安阳,河南省
1819A,安阳,河南省
1820A,安阳,河南省
1821A,安阳,河南省
1822A,安阳,河南省
1823A,开封,河南省
1824A,开封,河南省
1825A,开封,河南省
1826A,开封,河南省
1827A,焦作,河南省
1828A,焦作,河南省
1829A,焦作,河南省
1830A,焦作,河南省
1831A,平顶山,河南省
